stock_code,center_date,trading_days_count,avg_daily_return,cumulative_return,win_rate,volume_change_rate,max_daily_return,min_daily_return,volatility,index_name,index_code,effective_date,window_type
002701.SZ,2024-12-09,11,0.7190346122818124,7.142857142857162,45.45454545454545,49.10790101224283,4.999999999999982,-3.1192660550458884,2.445691732279701,中证现金流,932365.CSI,2024-12-09,effective_date
601101.SH,2024-12-09,11,-0.020756048950444406,-0.36710719530101965,36.36363636363637,10.927751424654119,3.209700427960027,-1.7916865742952703,1.894862923719817,中证现金流,932365.CSI,2024-12-09,effective_date
601083.SH,2024-12-09,11,0.29087592018834485,2.8595636517687373,45.45454545454545,-20.250751615173034,3.153910849453312,-1.590330788804073,1.3839738317063437,中证现金流,932365.CSI,2024-12-09,effective_date
000719.SZ,2024-12-09,11,0.8265980823702378,7.867298578199056,54.54545454545454,-20.255276963858783,10.586011342155,-2.9387069689336687,3.9294902733089585,中证现金流,932365.CSI,2024-12-09,effective_date
600211.SH,2024-12-09,11,-0.13670038368808646,-1.4603049790783085,45.45454545454545,-9.423008320003678,1.4802584759031179,-3.07575056479491,1.507596164200208,中证现金流,932365.CSI,2024-12-09,effective_date
300861.SZ,2024-12-09,11,-1.5568604610450154,-14.702495201535504,18.181818181818183,-3.1578537497079617,0.8450704225351879,-5.1457975986278,2.1228808918066546,中证现金流,932365.CSI,2024-12-09,effective_date
600866.SH,2024-12-09,11,0.5692151537410685,5.312499999999987,45.45454545454545,-18.82027412276217,7.205882352941173,-3.978052126200282,3.365528964477629,中证现金流,932365.CSI,2024-12-09,effective_date
600210.SH,2024-12-09,11,-0.12293885932896487,-1.455604075691419,45.45454545454545,-15.801869852018768,3.2023289665211063,-3.9492242595204563,2.281680133146146,中证现金流,932365.CSI,2024-12-09,effective_date
300770.SZ,2024-12-09,11,0.3823743020349913,3.72763419483102,45.45454545454545,6.632565168706495,4.567247035074451,-2.4799599198396693,1.8818478209324714,中证现金流,932365.CSI,2024-12-09,effective_date
002043.SZ,2024-12-09,11,-0.12600670587849644,-1.5477214101461745,36.36363636363637,-27.11120698078735,5.814977973568292,-3.080766028309734,2.596733509511723,中证现金流,932365.CSI,2024-12-09,effective_date
000521.SZ,2024-12-09,11,0.17586459010940128,1.5719467956468947,45.45454545454545,-16.635199921463396,3.125,-3.0269058295964046,2.0956883537917084,中证现金流,932365.CSI,2024-12-09,effective_date
300360.SZ,2024-12-09,11,-0.2546634154663918,-2.6203534430225606,45.45454545454545,-16.23071662491158,2.3298589822194904,-2.995805871779489,1.5252602091893137,中证现金流,932365.CSI,2024-12-09,effective_date
603013.SH,2024-12-09,11,-0.15500676488073073,-1.6046213093709905,36.36363636363637,-43.13291743586479,2.310654685494229,-1.882057716436647,1.2148831758144278,中证现金流,932365.CSI,2024-12-09,effective_date
002697.SZ,2024-12-09,11,1.9455619429186002,20.28985507246379,54.54545454545454,53.341811628658945,10.199203187251005,-3.645401822700922,4.302535285899887,中证现金流,932365.CSI,2024-12-09,effective_date
600987.SH,2024-12-09,11,-0.10345143102498344,-1.1412268188302432,36.36363636363637,12.066788985337396,2.7900146842878115,-2.1398002853067144,1.584841118150615,中证现金流,932365.CSI,2024-12-09,effective_date
002154.SZ,2024-12-09,11,0.4895418891234393,4.140786749482395,54.54545454545454,-33.27086227027789,10.044642857142861,-5.590062111801231,4.34944526932002,中证现金流,932365.CSI,2024-12-09,effective_date
600742.SH,2024-12-09,11,0.018290983252942095,0.11210762331839152,45.45454545454545,-11.839141790460106,1.6816143497757619,-2.3153252480705544,1.2532216558271956,中证现金流,932365.CSI,2024-12-09,effective_date
600268.SH,2024-12-09,11,-0.06703747819116312,-0.7320644216691097,45.45454545454545,20.905154461176846,1.4792899408283988,-2.186588921282795,1.19139185598434,中证现金流,932365.CSI,2024-12-09,effective_date
600780.SH,2024-12-09,11,-0.04017593817346232,-0.4918032786885296,36.36363636363637,-17.76148853632058,2.003338898163598,-3.0645161290322687,1.417526462492907,中证现金流,932365.CSI,2024-12-09,effective_date
600551.SH,2024-12-09,11,0.6189660928370688,6.214689265536721,72.72727272727273,6.066686195368232,3.3760186263096514,-3.0474040632054167,1.7792966137162447,中证现金流,932365.CSI,2024-12-09,effective_date
603031.SH,2024-12-09,11,-1.0691846024993943,-10.355781448538748,18.181818181818183,-56.89565928687327,0.48076923076922906,-6.321473951715372,1.9666062487051164,中证现金流,932365.CSI,2024-12-09,effective_date
001338.SZ,2024-12-09,11,0.05888789364882356,0.3626473254759732,36.36363636363637,-25.24161316932556,5.161290322580658,-2.552816901408439,2.263252350455238,中证现金流,932365.CSI,2024-12-09,effective_date
002469.SZ,2024-12-09,11,0.22249162261089866,2.028639618138439,54.54545454545454,1.293031164795222,3.341288782816254,-3.4642032332563577,2.181852386108279,中证现金流,932365.CSI,2024-12-09,effective_date
600479.SH,2024-12-09,11,-0.6124364682867156,-6.102877070619018,45.45454545454545,-17.17289472664301,1.1775362318840576,-3.832442067736197,1.827965682751522,中证现金流,932365.CSI,2024-12-09,effective_date
002328.SZ,2024-12-09,11,0.13368348069760172,1.1949470809149876,54.54545454545454,2.037977297620408,3.4494653328734026,-3.466490590954119,1.8137981639024183,中证现金流,932365.CSI,2024-12-09,effective_date
600351.SH,2024-12-09,11,-0.08746054578826601,-0.9584664536741117,54.54545454545454,-28.029683304968746,1.300813008130075,-2.8301886792452935,1.3924317981663874,中证现金流,932365.CSI,2024-12-09,effective_date
603187.SH,2024-12-09,11,0.7687272263753131,7.889908256880718,81.81818181818183,157.7251506389028,3.3480176211453605,-1.5440508628519312,1.2007358286332106,中证现金流,932365.CSI,2024-12-09,effective_date
601113.SH,2024-12-09,11,0.14540338905217443,1.2376237623762387,45.45454545454545,-31.77546568942553,3.084832904884327,-2.750000000000008,2.227713492389307,中证现金流,932365.CSI,2024-12-09,effective_date
603167.SH,2024-12-09,11,0.1727219306356209,1.653944020356235,54.54545454545454,-26.551139868164665,2.15736040609138,-1.9181585677749413,1.3783592587261824,中证现金流,932365.CSI,2024-12-09,effective_date
603758.SH,2024-12-09,11,-0.26973394783413096,-2.7272727272727337,27.27272727272727,-51.32752423914169,2.166476624857472,-2.485875706214702,1.1915238353810846,中证现金流,932365.CSI,2024-12-09,effective_date
