factor,date,quantile,ret
_root__momentum_factor,2025-09-05,Q5,0.0553510902039671
_root__momentum_factor,2025-09-08,Q1,0.014743831539395198
_root__momentum_factor,2025-09-08,Q2,0.01518211058325558
_root__momentum_factor,2025-09-08,Q3,0.012711826734756827
_root__momentum_factor,2025-09-08,Q4,0.0170423781287112
_root__momentum_factor,2025-09-08,Q5,0.05588192088930718
_root__momentum_factor,2025-09-09,Q1,0.021659814310995142
_root__momentum_factor,2025-09-09,Q2,0.01612792478902922
_root__momentum_factor,2025-09-09,Q3,0.022544058254852197
_root__momentum_factor,2025-09-09,Q4,0.025096271677451203
_root__momentum_factor,2025-09-09,Q5,0.07231617817458545
_root__momentum_factor,2025-09-10,Q1,0.023170990337215782
_root__momentum_factor,2025-09-10,Q2,0.025407599541518076
_root__momentum_factor,2025-09-10,Q3,0.029697768652563898
_root__momentum_factor,2025-09-10,Q4,0.03484695332881858
_root__momentum_factor,2025-09-10,Q5,0.08091684440307473
_root__momentum_factor,2025-09-11,Q1,0.003713438764460954
_root__momentum_factor,2025-09-11,Q2,0.002888428053498123
_root__momentum_factor,2025-09-11,Q3,0.007150755817733847
_root__momentum_factor,2025-09-11,Q4,0.031942577651114905
_root__momentum_factor,2025-09-11,Q5,0.03818420252524832
_root__momentum_factor,2025-09-12,Q1,0.009265708026997685
_root__momentum_factor,2025-09-12,Q2,0.011636490653374711
_root__momentum_factor,2025-09-12,Q3,0.011422203505605863
_root__momentum_factor,2025-09-12,Q4,0.030200779955595388
_root__momentum_factor,2025-09-12,Q5,0.045382262707971896
_root__momentum_factor,2025-09-15,Q1,0.007878647245437033
_root__momentum_factor,2025-09-15,Q2,0.010443768845079726
_root__momentum_factor,2025-09-15,Q3,0.01882053923539591
_root__momentum_factor,2025-09-15,Q4,0.021480288759184254
_root__momentum_factor,2025-09-15,Q5,0.044440059876212384
_root__momentum_factor,2025-09-16,Q1,0.006587299334761979
_root__momentum_factor,2025-09-16,Q2,0.011057453584343397
_root__momentum_factor,2025-09-16,Q3,0.012867526289700238
_root__momentum_factor,2025-09-16,Q4,0.03060566234439056
_root__momentum_factor,2025-09-16,Q5,0.045323926696318705
_root__momentum_factor,2025-09-17,Q1,-0.004440058038612021
_root__momentum_factor,2025-09-17,Q2,-0.003097095845449351
_root__momentum_factor,2025-09-17,Q3,7.384818036985282e-05
_root__momentum_factor,2025-09-17,Q4,0.010474668454359787
_root__momentum_factor,2025-09-17,Q5,0.05015380507848973
_root__momentum_factor,2025-09-18,Q1,0.011047723809424146
_root__momentum_factor,2025-09-18,Q2,0.010623913027703897
_root__momentum_factor,2025-09-18,Q3,0.01963854671044226
_root__momentum_factor,2025-09-18,Q4,0.027649595441425912
_root__momentum_factor,2025-09-18,Q5,0.07257324851859118
_root__momentum_factor,2025-09-19,Q1,0.014273064071140134
