factor,auto_label,usage,ic_future,ic_past_5d,ic_risk,ic_stability,monotonicity,top_bottom_spread,ic_future_vol,ic_future_drawdown,ic_past_1d,ic_past_3d,ic_past_10d,group
alpha191__alpha179,trend,alpha_core,0.03419783726377931,0.1707757394830264,0.07700137966635366,0.7345679012345679,1.0,0.013214398066755381,0.09728885862258282,0.056713900710124505,0.08957351073721631,0.14017200550383793,0.22893009918379095,trend
alpha191__alpha191,trend,alpha_core,0.03365011385953723,0.15523499956501027,0.051023089816205354,0.7135678391959799,1.0,0.011568049793884302,0.06936139474713729,0.03268478488527342,-0.030034919691439045,0.0914980185670271,0.11422790810211625,trend
alpha158__volume_position_30,trend,alpha_core,0.04339648257051606,0.4404769890743886,0.14395111207844966,0.7046632124352331,1.0,0.021531334196430787,0.16420237945522753,0.12369984470167178,0.20399791004061593,0.38865296607841676,0.4669842303461386,trend
alpha191__alpha154,trend,alpha_core,0.029628634103002635,0.033694802268289734,0.03910758306924848,0.6923076923076923,0.5,-0.0058275196006152274,0.05710305068993688,0.02111211544856008,-0.009171420211590285,0.009320973905695149,0.1252913593749791,trend
alpha191__alpha144,reversal,conditional_alpha,0.18451083672640117,-0.09005675127160644,0.23142998924986613,0.9356435643564357,1.0,0.054316675581827636,0.3191765691962553,0.14368340930347695,-0.06521399619908282,-0.08917903318862618,-0.06333768499030391,pullback
alpha360__high_0,reversal,conditional_alpha,0.10710515158201812,-0.025026917414012403,0.1671498190693498,0.8423423423423423,0.75,0.030562122164909736,0.22209527196173118,0.11220436617696843,-0.41409484107900074,-0.11864171220925757,0.06703945134484887,pullback
alpha101__alpha036,reversal,conditional_alpha,0.05013339997379885,-0.16024695875486258,0.027921941427031267,0.8260869565217391,0.75,0.008994742201162462,0.05612170926929959,-0.0002778264152370573,-0.2992985249917842,-0.16778083255259008,-0.10609354874083288,pullback
alpha191__alpha127,reversal,conditional_alpha,0.10015262404429076,-0.24972281691837728,0.11630432658387617,0.785,1.0,0.025594411344946416,0.16140892813432436,0.07119972503342797,-0.0653477655793711,-0.1680437967793143,-0.38760971279314504,pullback
alpha101__alpha070,reversal,conditional_alpha,0.040945120172025076,-0.02978517044278321,0.06003286030997343,0.7330097087378641,1.0,0.013806300480974601,0.08470391246077633,0.03536180815917054,-0.39501065649752887,-0.22664270602221973,0.38157670512628616,pullback
alpha191__alpha113,reversal,conditional_alpha,0.03672682375794149,-0.03792772333520042,-0.08689584596439731,0.7282608695652174,0.75,0.0054627117996208785,-0.08236834016131132,-0.09142335176748329,0.019060176666236616,-0.003712395650574324,-0.12395215346625207,pullback
