factor,valid,support,coverage,baseline_hit_rate,hit_rate,uplift,fail_rate,future_ret_20d_mean,future_ret_20d_median,future_max_up_20d_mean,future_max_drawdown_20d_mean,valid_support,valid_hit_rate,valid_uplift,stability,expr_key,complexity,depth
mwega_final_0005,True,8060,0.02949841711347375,0.22623016817025637,0.2739454094292804,1.2109145815739062,0.2063275434243176,0.05450930245123766,0.03307736370735659,0.15369933555989057,-0.0793871453903204,2591,0.21690467001157854,0.9392262362749911,0.7917806341908166,WITHOUT[5](close_above_mid),2,2
mwega_final_0020,True,6717,0.024583234212308087,0.22623016817025637,0.27378293881196963,1.2101964164475447,0.24132797379782642,0.023362747060425206,0.0043163563689778695,0.15500163673675998,-0.08999502489292287,1417,0.27805222300635146,1.2040033203905172,0.9846457469455862,"THEN[(1, 8)](big_bull_candle,AND(long_lower_shadow,close_near_high))",5,3
mwega_final_0017,True,17560,0.06426702289238201,0.22623016817025637,0.273120728929385,1.2072692653609296,0.29874715261958995,0.034264166086017706,0.014062905441899365,0.15439010470687115,-0.10330327327227252,4247,0.2705439133506004,1.1714913352019003,0.9905652874137912,big_bear_candle,1,1
mwega_final_0012,True,11703,0.0428312624663751,0.22623016817025637,0.2730069213022302,1.206766204128755,0.22985559258309834,0.03696177619706964,0.015354117523309618,0.14821705337439395,-0.08926938274584623,3374,0.25103734439834025,1.0870252822640272,0.9195273995285683,"THEN[(1, 8)](big_bull_candle,consecutive_down)",3,2
mwega_final_0029,True,20985,0.07680202023898841,0.22623016817025637,0.27290922087205144,1.2063343411682625,0.1992375506314034,0.017640011047252907,0.006334907836142323,0.13334347120896564,-0.08116774454461494,5818,0.31385355792368513,1.3590278896920114,0.8695431801936446,"AND(ma_bull_order,AND(long_upper_shadow,WITHOUT[5](big_down)))",6,4
mwega_final_0025,True,5782,0.021161271433015535,0.22623016817025637,0.26962988585264613,1.1918387721381527,0.27412659979245935,0.029089643640691797,0.004850577065805939,0.14966216899354878,-0.09963474448309415,1809,0.24930901050304036,1.0795413652998496,0.9246341877668887,"THEN[(1, 10)](THEN[(3, 5)](near_limit_up,WITHOUT[3](big_up)),consecutive_down)",6,4
mwega_final_0022,True,7731,0.02829432539755156,0.22623016817025637,0.2689173457508731,1.188689147543272,0.22778424524641055,0.02363590072952858,0.0051060139521135195,0.15198619481455056,-0.08682348744757888,1722,0.26248548199767713,1.1365972494752883,0.9760823767792409,"THEN[(1, 10)](big_bull_candle,AND(long_lower_shadow,close_near_high))",5,3
mwega_final_0024,True,13452,0.0492323457829341,0.22623016817025637,0.2656853999405293,1.1744030519421251,0.24107939339875112,0.027330587669088694,0.006197118500154364,0.14713820758799448,-0.09133607913612936,2995,0.2570951585976628,1.1132564280949546,0.9676676198812982,"THEN[(1, 8)](big_bull_candle,AND(long_lower_shadow,small_pullback_after_big_up))",5,3
mwega_final_0040,True,23538,0.08614562556041502,0.22623016817025637,0.26242671424929903,1.1599987586615852,0.3052085988614156,0.010675157462650147,-0.00933209555062331,0.15228120202930667,-0.1020669837340761,7254,0.30824372759856633,1.3347365739627495,0.85136108459947,volume_price_confirm,1,1
mwega_final_0004,True,5659,0.02071110948450967,0.22623016817025637,0.26064675737762855,1.152130856312103,0.19349708429051068,0.060315461310579924,0.047885528241349506,0.1416841294173384,-0.0774813108642657,1514,0.2285336856010568,0.9895814293794357,0.8767946622483935,"THEN[(1, 8)](consecutive_down,AND(long_lower_shadow,THEN[(3, 3)](break_ma20_down,NOT(pullback_to_ma10))))",8,5
mwega_final_0036,True,5957,0.021801745749995424,0.22623016817025637,0.25835151922108446,1.1419852679712204,0.3030048682222595,0.016840913206816292,-0.0025565704217144214,0.14577292681204956,-0.10306807498660166,1629,0.28115408225905464,1.2174347858873902,0.9188965607230275,volume_down_break,1,1
mwega_final_0039,True,11609,0.0424872362618259,0.22623016817025637,0.25816177103971055,1.141146528456908,0.2726333017486433,0.010837565450911964,-0.005510718713270135,0.14345977114843123,-0.09650729704719979,3496,0.2951945080091533,1.278231707559292,0.8745480150725079,long_upper_shadow_high_volume,1,1
mwega_final_0008,True,24512,0.0897103226160631,0.22623016817025637,0.2529781331592689,1.1182334133654648,0.11949249347258485,0.04263265758745685,0.025895809268718928,0.1488798460130415,-0.06324892069757224,5682,0.24287222808870115,1.0516692364036937,0.9600522584922179,"AND(NOT(volume_breakout),THEN[(2, 2)](WITHOUT[5](big_bull_candle),WITHOUT[20](lower_shadow_on_ma)))",8,4
