stock_code,center_date,trading_days_count,avg_daily_return,cumulative_return,win_rate,volume_change_rate,max_daily_return,min_daily_return,volatility,index_name,index_code,effective_date,window_type,window_dates
301348.SZ,2024-04-30,8,0.7305586656273138,5.014326647564449,50.0,-28.020330859277276,3.796561604584503,-2.832764505119456,2.6151929474814306,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300363.SZ,2024-04-30,8,0.8009624427383495,5.645110706893308,50.0,-7.686296157317097,3.492005146112831,-1.7456208992957079,1.7743329559516097,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
301558.SZ,2024-04-30,8,0.9644436365760354,6.863780359028504,62.5,-5.096567017233921,3.4055727554179516,-1.0288065843621519,1.6530889019140569,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300129.SZ,2024-04-30,8,1.017733613980246,7.2625698324022325,62.5,1.8314076172501137,3.1081081081081097,-1.7038007863695914,1.6160360815394161,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
002681.SZ,2024-04-30,8,0.839455319166617,5.783132530120483,50.0,1.3005618057056356,4.096385542168646,-3.935185185185164,2.7787289121597003,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300850.SZ,2024-04-30,8,0.39107637959810976,2.4788568095654773,37.5,-30.585483826472903,4.751314193287537,-3.329473074696032,3.0977985873825267,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688502.SH,2024-04-30,8,0.8654780617190622,6.073462096684157,50.0,-7.495466050182353,2.7630868861305835,-2.489234324125611,2.1406178805472047,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688515.SH,2024-04-30,8,1.7677971382323474,12.718524458700875,62.5,-15.048944862826353,6.75353567455903,-2.1831584916359392,3.1969477300029006,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688531.SH,2024-04-30,8,2.7996452049930225,20.50236503017453,62.5,-14.251995054512756,13.64775932309621,-0.7996691024403813,5.005944149641084,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
000429.SZ,2024-06-17,10,0.009953530639390036,0.0,40.0,-14.919904707138754,2.583423035522059,-2.245989304812823,1.4974729071645105,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
301498.SZ,2024-06-17,10,0.3082669989910124,2.5258323765786406,40.0,13.668518130370977,5.998452012383915,-2.5578333646793294,2.657031753711347,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
300140.SZ,2024-06-17,10,-0.751429867449074,-6.862745098039225,40.0,-14.930519432265733,2.950819672131133,-4.040404040404044,2.8191155204745137,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
002270.SZ,2024-06-17,10,0.04599270579124237,0.09567546880979716,60.0,10.130926382150118,2.498285490349761,-5.187700433880393,2.7951863002055006,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
601038.SH,2024-06-17,10,-0.3553423213410641,-3.3156987650803105,50.0,32.994227816505315,1.934832349897575,-4.328452899630619,2.0327243191741893,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
000581.SZ,2024-06-17,10,-0.12479941930219685,-1.3054830287206554,50.0,-30.97914558070264,2.7595269382391763,-4.462602137020721,2.167738734751246,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
688183.SH,2024-06-17,10,0.37913648797150473,2.6273458445040365,40.0,-54.53819356097635,8.333333333333348,-6.429942418426105,4.53863584155291,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
000766.SZ,2024-06-17,10,0.7978822833277407,7.082324455205802,70.0,7.8396045749844046,4.556213017751487,-4.895891952729303,2.783488037210846,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
603283.SH,2024-06-17,10,0.624933771494021,5.019042437432009,30.0,-39.31635814905372,10.078890097932547,-2.8805031446540896,4.312132996028513,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
688146.SH,2024-06-17,10,0.1364342658865375,1.0606630855031218,40.0,-5.5123317384791815,2.7436678154381555,-3.590429872376555,2.070917776218629,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
601107.SH,2024-06-17,10,-0.08154573278798107,-0.8080808080808133,20.0,6.338517045803371,2.409638554216853,-1.8000000000000016,1.3929893883074986,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
000628.SZ,2024-06-17,10,0.1583759570296488,0.6744149450351955,50.0,70.38610590148977,10.047928375057769,-4.93231645047042,4.404014435031203,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
601033.SH,2024-06-17,10,0.06452225887316383,0.3274394237066325,50.0,-13.60435308703093,5.32467532467531,-3.2217308907138253,2.534063311111092,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
301526.SZ,2024-06-17,10,-0.9947657710803514,-8.877284595300283,50.0,32.514379506543875,2.8205128205128105,-5.675675675675674,2.6970220068831674,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
600461.SH,2024-06-17,10,-0.38226658360833843,-3.5437567638049616,20.0,-9.200083748454402,3.0894289735735603,-3.112419710687242,2.003512776527371,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
300049.SZ,2024-06-17,10,-0.5909860327731307,-5.451197053406986,20.0,9.765226752600476,4.519559437903542,-4.2521447221186115,2.599148790785831,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
688484.SH,2024-06-17,10,1.890083051638567,18.035882908404144,70.0,44.68488749442285,5.3486418370204625,-3.0757301628327904,2.631469039501731,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
300857.SZ,2024-06-17,10,0.6442573702302352,5.681424007302582,50.0,-16.876016989606235,4.695299409118969,-2.9669611277805097,2.5417824532776896,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
