stock_code,title,author,post_time,read_count,comment_count,post_link,page,crawl_time
601669,"1000多万手封单,提前挂单,机率大一点,电建的股性启动后,最爱一字涨停",5HZJGn1010不给懂王面,03-09 09:03,451781,451010,"https://guba.eastmoney.com/news,601669,1679340549.html",2,2026-03-15 20:59:59
601669,10天前至今，主升浪已经形成，下面怎么走？前高7.8，周末消息面就是继续打，都走,0o3821797K540亚盛,03-15 07:45,451781,221606,"https://guba.eastmoney.com/news,601669,1679340094.html",2,2026-03-15 20:59:59
601669,过年刚发的年终奖，第一次买到人气第一的票,0o3821797K540亚盛,03-15 06:56,221606,109696,"https://guba.eastmoney.com/news,601669,1679339258.html",2,2026-03-15 20:59:59
601669,中国电建签署139.62亿元光储项目EPC合同,36227G706D93010,03-15 07:40,221606,109696,"https://guba.eastmoney.com/news,601669,1679114099.html",2,2026-03-15 20:59:59
601669,中长线是不错的，短线得看主力格局了,I666P1126915562,03-15 07:39,221606,109696,"https://guba.eastmoney.com/news,601669,1679340016.html",2,2026-03-15 20:59:59
601669,这次战争给世界各国一个警示：能源安全关乎一个国家的生存与发展。要大力发展能源自给,I666P1126915562,03-15 07:39,291573,221606,"https://guba.eastmoney.com/news,601669,1679337664.html",2,2026-03-15 20:59:59
601669,最新数据，挂单量113.7亿，大概1485万手，明天大概率高开7个点左右，一分钟,5I569156K71606有,03-13 04:07,291573,276662,"https://guba.eastmoney.com/news,601669,1679338768.html",2,2026-03-15 20:59:59
601669,有在回封板后面买进的吗,5I569156K71606P,03-15 07:38,291573,109696,"https://guba.eastmoney.com/news,601669,1679333650.html",2,2026-03-15 20:59:59
601669,人气不要那么高,风雨桥小姐姐0,03-15 07:22,291573,221606,"https://guba.eastmoney.com/news,601669,1679339343.html",2,2026-03-15 20:59:59
601669,上次是连续五个涨停板。那时候，公司状况还没有现在好。这次，起码连续八个涨停板！,,03-15 06:10,191675,109696,"https://guba.eastmoney.com/news,601669,1679338879.html",2,2026-03-15 20:59:59
601669,庄家在11。没什么理由。,百炼凡心,03-15 05:33,291573,191675,"https://guba.eastmoney.com/news,601669,1679339249.html",2,2026-03-15 20:59:59
601669,周末消息汇总,,03-13 03:24,454606,291573,"https://guba.eastmoney.com/news,601669,1679339239.html",2,2026-03-15 20:59:59
601669,中国电建:中国电力建设股份有限公司关于签署重大合同的公告,,03-15 07:24,501712,454606,"https://guba.eastmoney.com/news,601669,1679136831.html",2,2026-03-15 20:59:59
601669,昨天差几秒没赶上,,03-15 07:28,501712,454606,"https://guba.eastmoney.com/news,601669,1678888689.html",2,2026-03-15 20:59:59
601669,有业绩、有政策支撑，按现在这个热度，周一应该是一字板！,,03-13 05:35,501712,454606,"https://guba.eastmoney.com/news,601669,1679303486.html",2,2026-03-15 20:59:59
601669,我在2月12号第一次分析中国电建，如果有相信我的朋友从当天一直拿着中国电建，那么,,03-14 10:19,501712,302930,"https://guba.eastmoney.com/news,601669,1679323891.html",2,2026-03-15 20:59:59
601669,隔夜8万亿,38U56k91533429一,03-15 06:55,593429,501712,"https://guba.eastmoney.com/news,601669,1679337230.html",2,2026-03-15 20:59:59
601669,车门已经焊死。彻底不给机会了,38U56k91533429一,03-15 07:02,600753,593429,"https://guba.eastmoney.com/news,601669,1679335676.html",2,2026-03-15 20:59:59
601669,那明天加仓不,38U56k91533429一,03-15 07:18,600753,593429,"https://guba.eastmoney.com/news,601669,1679337041.html",2,2026-03-15 20:59:59
601669,一一一电建拉升核心硬逻辑是什么？这些超级大盘国资基建股，真正核心逻辑是十五五规划,38U56k91533429n,03-15 07:18,600753,401281,"https://guba.eastmoney.com/news,601669,1679307182.html",2,2026-03-15 20:59:59
601669,ST海钦(SH600753)，半导体芯片重组，录得9涨停板,,03-15 06:59,593429,141870,"https://guba.eastmoney.com/news,601669,1679338111.html",2,2026-03-15 20:59:59
601669,现价10元的聚飞光电对比320元的天孚通信和540元的中际旭创，都是CPO共封装,38U56k91533429一,03-15 03:50,593429,501712,"https://guba.eastmoney.com/news,601669,1679337982.html",2,2026-03-15 20:59:59
601669,央广新能源宣传中,0Y3626Z2754702庄,03-15 07:13,395412,084702,"https://guba.eastmoney.com/news,601669,1679337903.html",2,2026-03-15 20:59:59
601669,这波机会，往死里干,0Y3626Z2754702庄,03-15 01:33,395412,084702,"https://guba.eastmoney.com/news,601669,1679337641.html",2,2026-03-15 20:59:59
601669,我该怎么释怀,q5l2Xmemytylist,03-15 07:08,084702,520,"https://guba.eastmoney.com/news,601669,1679328255.html",2,2026-03-15 20:59:59
601669,目前电建挂单，委买9834.35万股，委卖居然0股！连板已是铁板钉钉的了。没上车,,03-15 04:39,582525,311293,"https://guba.eastmoney.com/news,601669,1679327414.html",3,2026-03-15 21:00:01
601669,海洋经济明阳智能,,03-15 04:39,582525,311293,"https://guba.eastmoney.com/news,601669,1679336967.html",3,2026-03-15 21:00:01
601669,明天预期是一字！没有一字就是没那么强！必有资金砸！看分歧承接！,,03-15 04:39,311293,37531,"https://guba.eastmoney.com/news,601669,1679335022.html",3,2026-03-15 21:00:01
