instrument,name,last_price,total_cap_yi,float_cap_yi
SZ300303,聚飞光电,10.67,151.17314973,141.76660673
SZ300668,杰恩股份,66.0,79.45164018,65.79794892
SZ300592,华凯易佰,14.51,58.67284915,50.62088813
SH600119,*ST长投,6.44,23.52341183,23.52341183
SZ301056,森赫股份,14.56,38.84413872,25.62499285
SH603919,金徽酒,18.42,93.43729145,93.43729145
SZ002164,宁波东力,13.65,72.64170855,65.48930702
SH688313,仕佳光子,176.6,798.20785525,798.20785525
SZ300676,华大基因,43.08,180.21099591,179.23246602
SH600501,航天晨光,24.92,106.61379064,106.61379064
SZ002676,顺威股份,8.15,58.68,58.67808141
SZ300952,恒辉安防,37.25,64.2885789,39.53242074
SH688606,奥泰生物,56.8,45.03152564,45.03152564
SZ002857,三晖电气,23.0,30.04582,29.5745845
SZ300598,诚迈科技,39.52,85.75118404,85.72716932
SZ301058,中粮科工,10.19,52.20074557,52.20074557
SH603015,弘讯科技,12.62,51.0124378,51.0124378
SZ002927,泰永长征,19.2,42.85289856,42.3764473
SZ002875,安奈儿,25.3,53.89326862,46.15680818
SZ301008,宏昌科技,32.72,42.85117016,37.90390616
SZ301226,祥明智能,41.88,45.56544,45.56544
SZ002883,*ST中设,9.54,14.89739364,14.62635107
SH603051,鹿山新材,24.77,40.03646834,40.03646834
SZ002757,南兴股份,29.02,85.74130595,81.85184473
SH600088,中视传媒,16.01,63.67279464,63.67279464
SH600330,天通股份,29.16,359.66947571,359.66947571
SH688165,埃夫特-U,19.74,102.999372,102.999372
SZ301282,金禄电子,31.37,66.16995659,55.39247939
SZ000768,中航西飞,24.45,679.85917801,678.8332252
SZ000929,*ST兰黄,11.11,20.6386026,20.63729418
SH688271,联影医疗,115.94,955.52877129,955.52877129
SZ300591,万里马,8.39,34.03602989,29.40232099
SH603267,鸿远电子,56.91,131.50813564,131.50813564
SZ301075,多瑞医药,84.93,67.944,67.944
SH600889,*ST京化,15.87,88.55744375,58.13911179
SZ301290,东星医疗,31.49,31.54458288,21.46386741
SH688785,恒运昌,343.6,232.62299997,43.73225694
SZ300115,长盈精密,36.36,494.98027266,493.52033067
SH688290,景业智能,64.25,65.65689125,65.65689125
SZ300449,汉邦高科,7.97,30.76706832,30.76706832
SH603052,可川科技,89.26,167.71711391,167.71711391
SZ002512,ST达华,4.5,50.06234844,49.25033019
SH603778,国晟科技,26.99,178.14536819,173.50714263
SH605555,德昌股份,16.49,79.8229847,79.8229847
SZ300649,杭州园林,19.55,25.88744706,20.74527996
SZ300323,华灿光电,13.28,215.53424024,157.725764
SZ300501,海顺新材,14.27,39.69667072,20.35966699
SZ301260,格力博,17.69,85.50558335,36.32361467
SZ002413,雷科防务,13.9,183.38836078,180.06483908
SZ000546,金圆股份,7.83,60.88985891,54.55201763
SZ001314,亿道信息,57.84,82.4995056,71.94677748
SH603938,三孚股份,33.97,129.97754163,129.97754163
SH688622,*ST禾信,83.39,58.76119796,58.76119796
SZ300918,南山智尚,15.69,79.4124916,79.4124916
SH601069,西部黄金,35.58,324.13348796,315.66164802
