factor,is_factor_higher_better,推断方向,IC均值通过,ICIR通过,RankIC均值通过,RankICIR通过,RR均值通过,RR胜率通过,单调性通过,初筛是否通过,备注
alpha191.alpha032,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha033,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha034,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha035,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha036,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha037,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha038,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha191.alpha039,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha191.alpha040,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha041,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha042,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha043,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha044,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha191.alpha045,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha046,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha047,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha048,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha049,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha050,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha051,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha052,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha053,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha054,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha055,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha056,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,True,False,
alpha191.alpha057,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha058,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha059,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha060,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha061,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha062,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha191.alpha063,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha191.alpha064,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha065,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha066,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha191.alpha067,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha068,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha069,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha070,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha071,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha072,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha073,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha074,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha075,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha076,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha077,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha078,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha191.alpha079,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha080,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha081,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha082,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha083,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha191.alpha084,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha085,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha086,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha087,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha088,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha089,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha090,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha191.alpha091,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha092,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha191.alpha093,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha094,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha095,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha096,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha097,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha098,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha191.alpha099,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha191.alpha100,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha101,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha191.alpha102,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha103,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha104,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha191.alpha105,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha191.alpha106,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
