market,code,close,open,high,low,pre_close,server_time,neg_price,vol,cur_vol,amount,in_vol,out_vol,s_amount,open_amount,handicap,unknown,rise_speed,short_turnover,min2_amount,opening_rush,active_flag,decimal,extra_meta,vol_rise_speed,depth,active,turnover,ts_code,market_cap_yi,name,drop_reason
MARKET.SZ,300595,12.46,12.74,12.83,12.39,12.64,15:33:10.530,1.0,9579200,194400,119859608.0,4966400,4612900,0,62.17,"{'bid': [{'price': 12.46, 'vol': 899}], 'ask': [{'price': 12.47, 'vol': 225}]}",0001100010010110,-0.07%,0.07%,2422232.0,0.08%,0,0,000000000000000000000000000000000000000000000000,1.66%,-21.59%,2498,1.43,300595.SZ,83.46631608391608,欧普康视,
MARKET.SZ,300597,9.89,9.75,10.02,9.52,9.62,15:33:12.072,0.0,8207700,91800,80375368.0,3794100,4413700,0,16.38,"{'bid': [{'price': 9.88, 'vol': 137}], 'ask': [{'price': 9.89, 'vol': 951}]}",0001100011010110,0.30%,0.10%,907896.0,1.25%,0,0,000000000000000000000000000000000000000000000000,1.37%,-54.71%,2187,3.02,300597.SZ,26.878858609271525,吉大通信,
MARKET.SZ,300599,12.82,12.24,12.94,12.23,12.24,15:33:10.314,0.0,19260500,280200,243514768.0,8848100,10412400,0,109.79,"{'bid': [{'price': 12.82, 'vol': 438}], 'ask': [{'price': 12.83, 'vol': 573}]}",0000000000010110,0.16%,0.39%,3592064.0,0.82%,0,0,000000000000000000000000000000000000000000000000,1.58%,-6.07%,3419,6.08,300599.SZ,40.61177796052631,雄塑科技,
MARKET.SZ,300600,11.7,11.63,11.79,11.47,11.5,15:33:10.986,0.0,4151200,31600,48410080.0,1928100,2223100,0,45.47,"{'bid': [{'price': 11.7, 'vol': 41}], 'ask': [{'price': 11.71, 'vol': 271}]}",0000101000010110,-0.08%,0.06%,369720.0,1.13%,0,0,000000000000000000000000000000000000000000000000,1.06%,-36.62%,2054,1.41,300600.SZ,34.446127659574465,国瑞科技,
MARKET.SZ,300603,11.12,11.03,11.29,10.63,10.92,15:33:11.334,100.0,38711000,604100,428266464.0,18377400,20333600,0,177.36,"{'bid': [{'price': 11.12, 'vol': 49}], 'ask': [{'price': 11.13, 'vol': 389}]}",0000100101010110,0.18%,0.42%,6717600.0,0.27%,0,0,000000000000000000000000000000000000000000000000,1.82%,44.57%,3874,10.35,300603.SZ,41.590948792270524,立昂技术,
MARKET.SZ,300605,12.26,12.14,12.38,11.85,12.04,15:33:10.650,0.0,5117300,56800,62158368.0,2669000,2448400,0,142.77,"{'bid': [{'price': 12.24, 'vol': 3}], 'ask': [{'price': 12.26, 'vol': 5}]}",0001001000010110,-0.32%,0.10%,696332.0,2.02%,0,0,000000000000000000000000000000000000000000000000,1.08%,0.00%,2571,4.05,300605.SZ,15.490888395061729,恒锋信息,
MARKET.SZ,300610,12.05,11.61,12.17,11.49,11.6,15:33:10.776,0.0,5456200,33500,64923424.0,2442200,3014000,0,8.71,"{'bid': [{'price': 12.05, 'vol': 127}], 'ask': [{'price': 12.06, 'vol': 85}]}",0000010011010110,-0.07%,0.07%,403688.0,-0.42%,0,0,000000000000000000000000000000000000000000000000,0.93%,3.83%,2243,3.3,300610.SZ,19.92339696969697,晨化股份,
MARKET.SZ,300612,13.89,14.28,14.33,13.72,14.02,15:33:09.672,0.0,6968300,89600,97018480.0,3496100,3472300,0,19.14,"{'bid': [{'price': 13.89, 'vol': 157}], 'ask': [{'price': 13.9, 'vol': 563}]}",0001010010010110,0.07%,0.13%,1244528.0,0.56%,0,0,000000000000000000000000000000000000000000000000,1.28%,23.58%,2458,3.87,300612.SZ,25.010255038759695,宣亚国际,
MARKET.SZ,300614,13.14,12.69,13.22,12.54,12.58,15:33:10.122,0.0,3926800,45400,50708832.0,1861600,2065300,0,39.34,"{'bid': [{'price': 13.14, 'vol': 22}], 'ask': [{'price': 13.15, 'vol': 135}]}",0001001010010110,0.92%,0.10%,596556.0,1.36%,0,0,000000000000000000000000000000000000000000000000,1.09%,-53.54%,1745,2.45,300614.SZ,21.060470204081632,百川畅银,
MARKET.SZ,300615,14.15,13.95,14.31,13.68,13.87,15:33:09.516,0.0,7850700,48500,110023672.0,3796000,4054700,0,18.55,"{'bid': [{'price': 14.15, 'vol': 64}], 'ask': [{'price': 14.19, 'vol': 33}]}",0000000000010110,0.14%,0.17%,686248.0,0.58%,0,0,000000000000000000000000000000000000000000000000,1.03%,-22.47%,2964,5.13,300615.SZ,21.6544649122807,欣天科技,
MARKET.SZ,300621,8.52,8.31,8.6,8.11,8.24,15:33:12.894,0.0,5781100,46100,48469228.0,2442600,3338600,0,13.38,"{'bid': [{'price': 8.5, 'vol': 56}], 'ask': [{'price': 8.52, 'vol': 242}]}",0001011011010110,0.12%,0.11%,392780.0,0.00%,0,0,000000000000000000000000000000000000000000000000,1.16%,-30.46%,2004,2.85,300621.SZ,17.28244631578947,维业股份,
MARKET.SZ,300625,12.1,11.98,12.25,11.72,11.9,15:33:10.746,0.0,3243000,27400,38873424.0,1547000,1696100,0,29.47,"{'bid': [{'price': 12.1, 'vol': 101}], 'ask': [{'price': 12.11, 'vol': 134}]}",0000110101010110,0.00%,0.06%,331532.0,0.67%,0,0,000000000000000000000000000000000000000000000000,0.93%,-22.01%,1837,2.0,300625.SZ,19.62015,三雄极光,
MARKET.SZ,300635,14.78,14.49,14.94,14.1,14.37,15:33:09.738,0.0,4636600,32500,67731184.0,2127800,2508900,0,35.65,"{'bid': [{'price': 14.78, 'vol': 124}], 'ask': [{'price': 14.83, 'vol': 318}]}",0000111000010110,-0.26%,0.08%,480352.0,0.84%,0,0,000000000000000000000000000000000000000000000000,0.85%,-29.28%,2287,3.85,300635.SZ,17.799726753246752,中达安,
MARKET.SZ,300636,7.24,7.13,7.4,7.08,7.05,15:33:13.662,0.0,7577200,16700,54503368.0,3363800,4213500,0,11.84,"{'bid': [{'price': 7.23, 'vol': 50}], 'ask': [{'price': 7.24, 'vol': 321}]}",0001011010010110,0.14%,0.04%,120924.0,0.14%,0,0,000000000000000000000000000000000000000000000000,0.71%,-39.83%,1504,2.06,300636.SZ,26.630547572815537,同和药业,
MARKET.SZ,300637,11.39,10.99,11.54,10.74,10.81,15:33:11.172,1.0,11990200,143100,134627456.0,5401800,6588400,0,124.85,"{'bid': [{'price': 11.38, 'vol': 290}], 'ask': [{'price': 11.39, 'vol': 321}]}",0000010100010110,-0.17%,0.19%,1629912.0,0.09%,0,0,000000000000000000000000000000000000000000000000,1.11%,-11.55%,2806,5.11,300637.SZ,26.725709980430526,扬帆新材,
MARKET.SZ,300639,6.18,6.22,6.26,6.11,6.18,15:33:14.298,0.0,14856600,207900,91465608.0,7572900,7283800,0,22.45,"{'bid': [{'price': 6.17, 'vol': 527}], 'ask': [{'price': 6.18, 'vol': 198}]}",0001010111010110,0.00%,0.10%,1284832.0,0.48%,0,0,000000000000000000000000000000000000000000000000,1.30%,10.51%,2238,2.34,300639.SZ,39.23666153846154,凯普生物,
MARKET.SZ,300640,7.33,7.44,7.46,7.18,7.36,15:33:13.608,300.0,12632000,114400,92200400.0,6922800,5709200,0,22.1,"{'bid': [{'price': 7.33, 'vol': 194}], 'ask': [{'price': 7.34, 'vol': 893}]}",0000000000010110,0.14%,0.16%,838544.0,0.81%,0,0,000000000000000000000000000000000000000000000000,1.19%,-28.91%,2562,5.72,300640.SZ,16.187510489510487,德艺文创,
MARKET.SZ,300647,6.9,6.77,6.98,6.64,6.67,15:33:13.866,0.0,18066800,109500,123089120.0,8605700,9461200,0,82.73,"{'bid': [{'price': 6.9, 'vol': 410}], 'ask': [{'price': 6.91, 'vol': 671}]}",0000111111010110,0.00%,0.10%,755552.0,0.15%,0,0,000000000000000000000000000000000000000000000000,1.00%,-23.42%,2850,3.96,300647.SZ,31.48003030303031,超频三,
MARKET.SZ,300654,10.57,10.43,10.6,10.18,10.3,15:33:11.664,0.0,9690800,89400,100875096.0,4819400,4871400,0,2.19,"{'bid': [{'price': 10.56, 'vol': 20}], 'ask': [{'price': 10.57, 'vol': 20}]}",0000010100010110,0.19%,0.14%,944968.0,0.97%,0,0,000000000000000000000000000000000000000000000000,1.35%,31.37%,2691,2.75,300654.SZ,37.24791127272727,世纪天鸿,
