factor,date,quantile,ret
custom__simple_reversal_5d,2025-01-24,Q5,0.12245219427774506
custom__simple_reversal_5d,2025-01-27,Q1,0.16953054851062532
custom__simple_reversal_5d,2025-01-27,Q2,0.0886436623663056
custom__simple_reversal_5d,2025-01-27,Q3,0.09714025511965087
custom__simple_reversal_5d,2025-01-27,Q4,0.13755761524164728
custom__simple_reversal_5d,2025-01-27,Q5,0.17917661208189778
custom__simple_reversal_5d,2025-02-05,Q1,0.18078860402740246
custom__simple_reversal_5d,2025-02-05,Q2,0.10171225512066623
custom__simple_reversal_5d,2025-02-05,Q3,0.092545329353609
custom__simple_reversal_5d,2025-02-05,Q4,0.11798419786331892
custom__simple_reversal_5d,2025-02-05,Q5,0.14234873380748547
custom__simple_reversal_5d,2025-02-06,Q1,0.17764697262603674
custom__simple_reversal_5d,2025-02-06,Q2,0.10891491281735156
custom__simple_reversal_5d,2025-02-06,Q3,0.07847356964769114
custom__simple_reversal_5d,2025-02-06,Q4,0.06885463238963188
custom__simple_reversal_5d,2025-02-06,Q5,0.11058144458510417
custom__simple_reversal_5d,2025-02-07,Q1,0.15693019493256613
custom__simple_reversal_5d,2025-02-07,Q2,0.10321240080091507
custom__simple_reversal_5d,2025-02-07,Q3,0.07081121399164547
custom__simple_reversal_5d,2025-02-07,Q4,0.0710905828950812
custom__simple_reversal_5d,2025-02-07,Q5,0.09362265780638042
custom__simple_reversal_5d,2025-02-10,Q1,0.1184277285629155
custom__simple_reversal_5d,2025-02-10,Q2,0.0746327950998596
custom__simple_reversal_5d,2025-02-10,Q3,0.07081505360146505
custom__simple_reversal_5d,2025-02-10,Q4,0.05096422741933795
custom__simple_reversal_5d,2025-02-10,Q5,0.08321585207741948
custom__simple_reversal_5d,2025-02-11,Q1,0.1349405613465061
custom__simple_reversal_5d,2025-02-11,Q2,0.10620596376351664
custom__simple_reversal_5d,2025-02-11,Q3,0.06794789096677743
custom__simple_reversal_5d,2025-02-11,Q4,0.05706182154160623
custom__simple_reversal_5d,2025-02-11,Q5,0.06080760820004811
custom__simple_reversal_5d,2025-02-12,Q1,0.12568091905184844
custom__simple_reversal_5d,2025-02-12,Q2,0.08549085628719325
custom__simple_reversal_5d,2025-02-12,Q3,0.07044075145119694
custom__simple_reversal_5d,2025-02-12,Q4,0.047111935716531134
custom__simple_reversal_5d,2025-02-12,Q5,0.04377937084268558
custom__simple_reversal_5d,2025-02-13,Q1,0.11225803185878054
custom__simple_reversal_5d,2025-02-13,Q2,0.0929102210128868
custom__simple_reversal_5d,2025-02-13,Q3,0.06824347706272448
custom__simple_reversal_5d,2025-02-13,Q4,0.06421297665085286
custom__simple_reversal_5d,2025-02-13,Q5,0.09579058869906591
custom__simple_reversal_5d,2025-02-14,Q1,0.10239683337914594
custom__simple_reversal_5d,2025-02-14,Q2,0.07993546814470004
custom__simple_reversal_5d,2025-02-14,Q3,0.07868926481637008
custom__simple_reversal_5d,2025-02-14,Q4,0.06768394075581825
custom__simple_reversal_5d,2025-02-14,Q5,0.11844295056721965
custom__simple_reversal_5d,2025-02-17,Q1,0.10623310113252799
custom__simple_reversal_5d,2025-02-17,Q2,0.07179764179637015
custom__simple_reversal_5d,2025-02-17,Q3,0.05976209870879666
custom__simple_reversal_5d,2025-02-17,Q4,0.05559937322519925
custom__simple_reversal_5d,2025-02-17,Q5,0.08541549619258067
custom__simple_reversal_5d,2025-02-18,Q1,0.14393632072287849
custom__simple_reversal_5d,2025-02-18,Q2,0.09050522785789589
custom__simple_reversal_5d,2025-02-18,Q3,0.08461244362810874
custom__simple_reversal_5d,2025-02-18,Q4,0.10490583920717256
custom__simple_reversal_5d,2025-02-18,Q5,0.11179857247831883
custom__simple_reversal_5d,2025-02-19,Q1,0.12159894216379345
custom__simple_reversal_5d,2025-02-19,Q2,0.08045193296049118
custom__simple_reversal_5d,2025-02-19,Q3,0.07492225962518498
custom__simple_reversal_5d,2025-02-19,Q4,0.07377326361420937
custom__simple_reversal_5d,2025-02-19,Q5,0.08697193344398366
custom__simple_reversal_5d,2025-02-20,Q1,0.10669048701379881
custom__simple_reversal_5d,2025-02-20,Q2,0.08670379820503477
custom__simple_reversal_5d,2025-02-20,Q3,0.07094827532695865
custom__simple_reversal_5d,2025-02-20,Q4,0.06230426144076067
custom__simple_reversal_5d,2025-02-20,Q5,0.07150592704921196
custom__simple_reversal_5d,2025-02-21,Q1,0.09179407066516374
custom__simple_reversal_5d,2025-02-21,Q2,0.08460446587880655
custom__simple_reversal_5d,2025-02-21,Q3,0.07023862993619263
custom__simple_reversal_5d,2025-02-21,Q4,0.06250432351864825
custom__simple_reversal_5d,2025-02-21,Q5,0.05840794032008611
custom__simple_reversal_5d,2025-02-24,Q1,0.10285314481880234
