code,name,hist30,hl,vol_score,hl_score_original,hl_score,total
588050.SH,科创50ETF工银,26.65,0.2082,82.9,59,44.71,82.11
588880.SH,科创100ETF华泰柏瑞,31.67,0.2172,76.04,62,60.7,82.05
588800.SH,科创100ETF华夏,31.48,0.2197,75.91,62,60.7,81.98
165528.SZ,中信保诚鼎利LOF,28.24,0.2274,71.54,64,70.5,81.92
161226.SZ,国投白银LOF,114.12,0.1899,94.32,54,17.3,81.85
159871.SZ,有色ETF银华,60.25,0.1944,92.17,55,22.19,81.72
588000.SH,科创50ETF,26.39,0.2124,80.22,60,50.07,81.72
588900.SH,科创100ETF南方,31.45,0.2191,75.65,62,60.7,81.66
159738.SZ,云计算ETF华泰柏瑞,31.05,0.2042,84.6,58,39.75,81.59
512530.SH,沪深300红利ETF建信,14.85,0.222,73.43,63,65.47,81.53
588080.SH,科创50ETF易方达,26.13,0.2111,80.03,60,50.07,81.46
588950.SH,科创50ETF景顺,26.72,0.2083,82.25,59,44.71,81.4
166105.SZ,信澳鑫安LOF,37.99,0.2571,61.16,73,93.86,81.33
501081.SH,科创中欧LOF,32.82,0.2121,79.9,60,50.07,81.27
159583.SZ,通信设备ETF,43.17,0.1879,95.23,53,13.97,81.2
561560.SH,电力ETF,14.91,0.251,62.14,71,91.06,81.14
159980.SZ,有色ETF大成,42.59,0.205,84.07,58,39.75,81.07
517850.SH,张江ETF汇添富,28.01,0.2183,75.07,62,60.7,81.01
159609.SZ,光伏ETF浦银,38.56,0.1906,93.6,54,17.3,80.94
159336.SZ,央企红利ETF融通,27.48,0.2303,69.06,65,74.54,80.87
516880.SH,光伏ETF银华,40.84,0.1863,94.97,53,13.97,80.81
516270.SH,新能源50ETF,25.65,0.2042,83.88,58,39.75,80.74
168401.SZ,红土创新精选LOF,41.15,0.1946,91.38,55,22.19,80.68
512400.SH,有色金属ETF,61.5,0.1937,91.25,55,22.19,80.61
180605.SZ,易方达华威市场REIT,14.34,0.2289,68.8,65,74.54,80.55
588450.SH,科创50增强ETF招商,24.86,0.211,79.24,60,50.07,80.48
513310.SH,中韩半导体ETF,64.46,0.1803,96.93,51,8.75,80.42
517800.SH,人工智能50ETF,28.82,0.2021,85.64,57,34.66,80.35
159881.SZ,有色金属ETF国泰,61.24,0.1925,93.02,54,17.3,80.29
560800.SH,数字经济ETF,25.14,0.211,78.92,60,50.07,80.22
159652.SZ,有色ETF汇添富,61.55,0.1957,90.73,55,22.19,80.16
501089.SH,消费红利增强LOF,12.13,0.2628,58.94,75,95.43,80.03
560860.SH,工业有色ETF万家,62.79,0.1892,92.43,54,17.3,80.03
561600.SH,消费电子ETF,28.83,0.2043,82.77,58,39.75,79.96
560700.SH,央企红利ETF广发,23.88,0.2417,62.6,69,86.03,79.9
161132.SZ,易方达科顺定开,22.86,0.2202,73.24,62,60.7,79.83
561170.SH,绿色电力ETF,14.59,0.2539,59.6,72,92.49,79.77
561100.SH,消费电子ETF富国,28.13,0.2053,82.18,58,39.75,79.7
512330.SH,信息科技ETF南方,33.58,0.1963,86.95,56,28.59,79.63
517390.SH,云计算ETF天弘,31.42,0.2019,84.2,57,34.66,79.57
515210.SH,钢铁ETF,34.48,0.2093,79.83,59,44.71,79.5
501031.SH,环境治理LOFC,24.03,0.2177,72.91,62,60.7,79.44
159918.SZ,中创400ETF嘉实,25.84,0.2077,79.63,59,44.71,79.37
167302.SZ,大湾区LOF,25.62,0.2125,77.28,60,50.07,79.31
159636.SZ,港股通科技30ETF工银,26.06,0.2195,72.72,62,60.7,79.24
588500.SH,科创100增强ETF易方达,31.94,0.2125,77.09,60,50.07,79.18
501059.SH,国企红利LOF,15.12,0.244,61.62,69,86.03,79.11
501076.SH,鹏华创新动力LOF,32.87,0.1981,86.03,56,28.59,79.05
159804.SZ,创中盘88ETF国寿,30.65,0.2161,74.28,61,55.68,78.92
501005.SH,精准医疗LOF,21.6,0.2183,72.13,62,60.7,78.92
517380.SH,创新药ETF天弘,22.05,0.2274,67.89,64,70.5,78.85
513360.SH,教育ETF博时,25.78,0.2346,63.51,67,80.55,78.79
516820.SH,医疗创新ETF,20.83,0.2077,78.79,59,44.71,78.72
588010.SH,科创新材料ETF博时,33.5,0.209,78.72,59,44.71,78.66
501015.SH,财通升级混合LOF,28.72,0.1971,85.57,56,28.59,78.59
510410.SH,资源ETF博时,51.85,0.1903,90.4,54,17.3,78.52
512600.SH,消费ETF嘉实,24.06,0.236,63.25,67,80.55,78.46
159556.SZ,中证2000ETF增强,29.61,0.2173,71.74,62,60.7,78.39
160211.SZ,国泰小盘LOF,32.12,0.2223,69.65,63,65.47,78.33
517050.SH,互联网ETF华泰柏瑞,29.01,0.1974,85.31,56,28.59,78.26
161116.SZ,黄金主题LOF,71.38,0.1743,94.84,49,5.94,78.2
506000.SH,科创板基金,25.57,0.2079,78.07,59,44.71,78.07
159752.SZ,新能源ETF申万菱信,26.39,0.2022,82.38,57,34.66,78.07
512930.SH,AI人工智能ETF,30.16,0.1989,84.86,56,28.59,78.0
508021.SH,国泰海通临港创新产业园REIT,12.11,0.2636,56.2,75,95.43,77.94
159875.SZ,新能源ETF嘉实,29.41,0.1955,87.47,55,22.19,77.87
159981.SZ,能源化工ETF建信,27.99,0.2167,73.11,61,55.68,77.81
561380.SH,电网ETF,44.06,0.1671,95.04,47,4.05,77.74
517180.SH,中国国企ETF南方,21.71,0.2541,57.11,72,92.49,77.68
501010.SH,生物科技LOFC,45.44,0.1754,93.67,50,7.11,77.61
159944.SZ,材料ETF,43.67,0.1929,87.08,55,22.19,77.55
513160.SH,港股科技ETF银华,27.84,0.2071,77.42,59,44.71,77.48
515300.SH,300红利低波ETF嘉实,14.43,0.2558,56.33,73,93.86,77.42
515070.SH,人工智能AIETF,29.67,0.1972,84.27,56,28.59,77.35
560810.SH,央企ESGETF融通,19.44,0.217,72.65,61,55.68,77.28
159928.SZ,消费ETF,22.59,0.2414,60.64,68,83.55,77.22
159511.SZ,通信ETF南方,37.49,0.1831,91.71,52,10.9,77.15
160644.SZ,港美互联网LOF,25.23,0.2132,74.87,60,50.07,77.09
563210.SH,专精特新ETF,34.47,0.1966,84.01,56,28.59,77.02
501026.SH,财通福享混合LOF,32.91,0.1956,86.68,55,22.19,76.96
