跟踪指数代码,跟踪指数名称,基金规模(亿元)
931892.CSI,有色矿业,2.05312207
931271.CSI,通信设备主题,2.01286441
h11054.CSI,装备产业,1.97333809
399007.SZ,深证300,1.95725355
000961.CSI,中证上游,1.93352652
931752.CSI,工程机械主题,1.9302768999999997
980028.CNI,龙头家电,1.92794833
930957.CSI,港股通中国100,1.90269815
707918.MI,MSCI中国A股国际低波(美元),1.84968712
931027.CSI,港股通大消费,1.84693095
399750.SZ,深主板50,1.80994726
930648.CSI,CS智消费,1.79067397
CES100.CSI,中华港股通精选100,1.79034729
987016.CNI,港股通红利低波,1.78750389
000934.SH,800金地,1.7811429300000001
931021.CSI,家电龙头,1.76949903
000812.CSI,细分机械,1.72508814
399807.SZ,高铁产业,1.70828063
931579.CSI,东证优势成长,1.68837514
930850.CSI,智能制造,1.64863773
931393.CSI,湖北指数,1.59471152
931798.CSI,光伏龙头30,1.59402889
932066.CSI,半导体行业精选,1.59093138
h11057.CSI,石化产业,1.57944325
399804.SZ,中证体育,1.56740082
000048.SH,责任指数,1.52928349
931136.CSI,深圳科技,1.50375864
980001.CNI,湾创100(CNI),1.48802729
931357.CSI,优选消费50,1.45600003
931586.CSI,300价值稳健,1.38407866
399624.SZ,中创400,1.36936431
000936.CSI,800通信,1.3604654999999999
950105.CSI,上证证券,1.35431903
000805.CSI,A股资源,1.3338672
931573CNY00.CSI,港股通科技CNY,1.3141825599999999
000979.CSI,大宗商品,1.28906123
399348.SZ,深证价值,1.27382631
000042.SH,上证央企,1.26093618
704843.MI,MSCI中国A股国际(美元),1.24620732
HSCSOE.HI,恒生中国央企指数,1.2400318700000001
930821.CSI,中证VR,1.22721133
930716.CSI,CS物流,1.2213633
931231.CSI,央企红利50,1.19276873
399378.SZ,ESG 300,1.18928706
000974.SH,800金融,1.1878225999999998
931406.CSI,5G 50,1.16219623
995128.SSI,沪深港红利50,1.15718443
399667.SZ,创业成长,1.15409619
SPACEVCP.SPI,标普沪港深中国增强价值(人民币),1.1411657400000002
000944.CSI,内地资源,1.1168387100000001
930781.CSI,中证影视,1.09037835
930758.CSI,凤凰50,1.08528669
399699.SZ,金融科技,1.06415772
HSCAUPG.HI,恒生A股电网设备,1.0636882699999999
980018.CNI,卫星通信,1.05072126
399310.SZ,国证A50,1.02405295
h30535.CSI,互联网,1.00807214
000998.CSI,中证TMT,0.97026373
931134.CSI,AH经济蓝筹,0.94118828
h50069CNY10.CSI,港股通人民币中间价,0.927245
719895.MI,MSCI中国A股人民币消费指数,0.9272093400000001
980016.CNI,医疗健康,0.9070981499999999
931000.CSI,大湾区,0.88930696
716567L.MI,MSCI中国A股国际通(人民币),0.86205259
399433.SZ,国证交运,0.8620504
995127.SSI,沪港深红利100,0.8412771099999999
000037.SH,上证医药,0.83924068
995017.SSI,长期竞争力,0.83035616
h30171.CSI,中证全指运输指数,0.82551228
931802.CSI,中证龙头,0.82366796
000806.CSI,消费服务,0.80738989
000807.CSI,食品饮料,0.77541857
399285.SZ,物联网50,0.77290044
931588.CSI,1000价值稳健,0.77032515
995082.SSI,龙头红利50,0.7665492
931469.CSI,云计算50,0.76493599
931476.CSI,ESG120策略,0.7560022200000001
931575.CSI,SHS物联网,0.73584676
000945.CSI,内地运输,0.72194636
930903.CSI,中证A股,0.7130804000000001
399275.SZ,创医药,0.7129766200000001
931589.CSI,300成长创新,0.70524677
930662.CSI,CS现代农,0.69458125
931495.CSI,工业互联,0.6940558
HSMI.HI,恒生中型股,0.6818888699999999
399996.SZ,中证智能家居,0.66865348
931526.CSI,企业核心竞争力50,0.65592867
930725.CSI,CS车联网,0.64534031
000971.CSI,等权90,0.63590911
931591.CSI,1000成长创新,0.6344138500000001
h50040.CSI,上红低波,0.60442462
399361.SZ,在线消费,0.60427408
931033.CSI,杭州湾区,0.55953524
931994.CSI,电网设备主题,0.55467278
h30344.CSI,健康产业,0.55303109
h30089.CSI,红利潜力,0.54386858
995069.SSI,商飞产业,0.5305276400000001
931596.CSI,SHS张江50,0.52508617
930917.CSI,SHS高股息(CNY),0.52043611
931778.CSI,农牧主题,0.51480649
999102.SSI,华证ESG领先,0.5066291
HSCAAI.HI,恒生沪深港汽车主题,0.49749184
989006.CNI,新华SHS新兴消费,0.49273462
931587.CSI,500价值稳健,0.48520106
931663.CSI,SHS消费龙头,0.48302783
931480.CSI,线上消费,0.48060352
931590.CSI,500成长创新,0.47959021
h30356.CSI,中证800价值,0.47775574
931088.CSI,180ESG,0.45325557
HSCSSE.HI,恒生A股专精特新企业,0.44440092999999997
000964.CSI,中证新兴,0.44313867
931583.CSI,SHS数字经济,0.43745042
000984.CSI,300等权,0.42212086
000038.SH,上证金融,0.3873013
931580.CSI,SHS游戏传媒,0.37053628
h30463.CSI,沪港深500医药,0.34363013
931442.CSI,SHS科技100,0.33997959
931404.CSI,SHS品牌消费50,0.33996402
CES300.CSI,中华沪深港300,0.33518451
721638.MI,MSCI CHINA A RMB ESG UNIVERSAL,0.32534346
931402.CSI,证券先锋,0.32298251
000986.SH,全指能源,0.29973271
931481.CSI,SHS线上消费,0.28968139
931447.CSI,科技先锋,0.28572616
995067.SSI,价值50,0.27456299
000987.SH,全指材料,0.2291448
000056.SH,上证国企,0.2160668
000969.CSI,300非周,0.18990231
h30365.CSI,文娱传媒,0.17185637
950049.CSI,G60成指,0.17061167
000693.SH,科创机械,0.15694237
h30352.CSI,中证500价值,0.14873367
h30372.CSI,中证安全,0.14451262
932061.CSI,均衡配置,0.13259415
931733.CSI,绿色能源,0.13167268
995066.SSI,专精特新,0.12633028
995206.SSI,沪深港汽车制造,0.1013655
995020.SSI,清洁能源,0.09381582
000904.CSI,中证200,0.07562005
931268.CSI,持续发展,0.06954144
HSBBAC.HI,恒生沪深港通大湾区综合指数,0.05627631
