date,G1,G2,G3,G4,G5
2025-07-15,949228.8962287455,1056042.151851025,1101631.9054935817,1139438.9982403382,1221213.315977585
2025-07-16,949188.3122419077,1061743.365438464,1109340.2429576244,1147105.3656393816,1231377.6358719696
2025-07-17,958096.7293981672,1069142.0556147308,1114774.1731011067,1152267.1728451955,1235118.5104979123
2025-07-18,957190.0971527759,1071241.5756537823,1115325.0882565307,1154431.9666128885,1236537.61611844
2025-07-21,968621.1584970949,1087928.3124798744,1135378.826504108,1173275.2092183267,1254848.9538101696
2025-07-22,968574.8337291742,1092625.9456565783,1142298.2017768172,1181103.2234783615,1261160.0339131155
2025-07-23,956510.4463313161,1079825.0108399135,1133244.0004486132,1172190.1763376808,1255413.5909303275
2025-07-24,969935.3183089208,1095235.1587397363,1147288.1756567713,1183659.0198525232,1267597.213502966
2025-07-25,966452.4785605001,1091057.518552229,1143405.5615338779,1179969.0643208493,1270382.8215521064
2025-07-28,969492.1297699175,1090313.0685089075,1141999.519608437,1180200.7206121865,1269804.19360973
2025-07-29,969332.036420022,1090217.6171826671,1141240.2561436286,1176904.0138259262,1266296.15215295
2025-07-30,960216.4047775156,1085751.4839710328,1140171.0520620989,1177811.285117372,1267622.8377312426
2025-07-31,947380.1437187934,1072124.411628563,1123822.6658854724,1160640.9319557417,1249552.7457801679
2025-08-01,948515.7555036641,1072996.6137662602,1130396.7063881163,1169575.9947805293,1257038.3133069566
2025-08-04,953781.541063194,1080371.8649477423,1138857.7631616488,1176154.8967374982,1265631.193923176
2025-08-05,963690.4929886905,1088916.988133644,1147951.9431898217,1187867.9963030089,1277514.4700807622
2025-08-06,968309.654416847,1095472.5064606336,1151861.5668589615,1192307.630996965,1281833.0304857844
2025-08-07,966719.610215424,1094553.639209943,1151085.2713500094,1193444.9612692024,1282550.9666206795
2025-08-08,970044.5427670947,1097741.9556220202,1156587.1875578307,1196684.4302307372,1290192.4835063305
2025-08-11,983069.2141647771,1109678.0356507222,1166493.4219532704,1207775.6845437621,1301199.6918169921
2025-08-12,981547.1397529606,1111016.8146101485,1165257.2173662751,1210325.6388360092,1302658.276578851
2025-08-13,990574.227355177,1117694.1330216853,1166758.57078686,1214588.3359869188,1302375.8326871633
2025-08-14,977212.725882743,1099566.9910649357,1150160.6585634085,1193707.4613227455,1282943.9610919498
2025-08-15,993177.5239891009,1115583.823539178,1164696.9540148068,1206745.9443154496,1296418.2282614715
2025-08-18,1006042.9364981035,1127906.3614870736,1173995.5547235394,1214767.3329766488,1303709.6579659614
2025-08-19,1011902.0686279136,1136403.2826842482,1182202.989415657,1222269.2790622902,1315627.747766637
2025-08-20,1018056.640314856,1144892.7528823595,1195319.927182942,1235551.111114903,1334579.1174979212
2025-08-21,1014555.1545283723,1144951.1142741966,1197532.7062301538,1237527.2097197531,1336840.1359698756
2025-08-22,1018236.8589589908,1148058.2291112575,1198232.1130840557,1237517.859232734,1333952.0638987082
2025-08-25,1028570.7536376457,1157294.8067564117,1205233.298653522,1245289.9916183986,1339427.6811114016
2025-08-26,1030961.5399486169,1162943.241144004,1213204.0271950644,1253040.8147097912,1350178.6992305575
2025-08-27,1004800.17926092,1131707.4124400665,1183110.6379134888,1223949.833494747,1322526.1308199351
2025-08-28,1012640.4953524405,1131836.1215685667,1186544.0673707537,1223120.458006093,1322755.7187983047
2025-08-29,1004833.3399864999,1127088.7203242085,1183715.325355831,1220378.712872246,1317126.896151637
2025-09-01,1015725.5218027192,1140293.404224404,1192314.2119954366,1226738.3138259915,1324637.8944210804
2025-09-02,994244.1969209855,1127147.598291771,1181356.6239481247,1217329.1429602816,1314957.956121633
2025-09-03,970595.6789566076,1105139.9277924637,1158888.3914920948,1195504.6099181909,1291698.9965039229
2025-09-04,966184.6187055395,1103303.1709201818,1161823.7248817545,1202733.9862265554,1302883.2713945115
2025-09-05,983686.6309804573,1121681.150972149,1180009.7847141244,1218284.8922947436,1315204.5737849767
2025-09-08,992288.2021332266,1134654.4655900046,1193774.4752319239,1232075.8448986982,1331660.0465310807
2025-09-09,983848.2151069666,1126380.742917034,1186165.249681428,1227915.5862403272,1325667.9530310633
2025-09-10,990288.5335543334,1129562.644707337,1188038.8734759912,1231025.6563387536,1325321.9645024815
2025-09-11,1006065.9972547585,1139623.4616874834,1198786.4772138163,1238671.5699794083,1333729.8303285635
2025-09-12,1010139.254104667,1140991.7422874563,1195526.2316788812,1234453.3570010161,1328351.8281988974
2025-09-15,1010292.0870838742,1141596.6475598786,1196006.914463971,1232685.9344977639,1322467.1395594454
2025-09-16,1022650.5104638622,1151449.0982311706,1205793.1663819056,1242114.6796399897,1331483.2305176442
2025-09-17,1027116.0276969671,1148029.1369401603,1207319.828219786,1243361.4363053127,1331587.794650445
2025-09-18,1011793.1964842461,1133344.131685736,1190803.8885247065,1224540.9586276754,1308950.7272975382
2025-09-19,1001288.084331405,1128490.9339895619,1190814.9153450248,1223033.925208634,1306249.7847700731
2025-09-22,999566.7379894513,1126327.8136473421,1185250.763077727,1216167.2846583617,1297651.2677641227
2025-09-23,979226.8699388065,1109908.835750396,1174014.784586544,1206337.323169422,1286336.8861108425
2025-09-24,991620.1807405773,1123926.9389402692,1188953.8009127378,1221689.4450008832,1299037.8548471155
2025-09-25,987557.4315554311,1112607.4343744733,1180252.4113328743,1212115.906398206,1288226.9315520956
2025-09-26,975680.2170457026,1108016.18719112,1178413.5435912702,1211990.8964640822,1288270.1488861938
2025-09-29,983566.3481555316,1114404.2127745484,1181900.504788303,1220345.9325557614,1294905.4685038698
2025-09-30,986733.8153607323,1116865.6933136024,1182952.7636596118,1220228.3259711277,1292338.799473431
2025-10-09,997217.06602204,1125327.0890756706,1194070.4376679626,1228272.7219263902,1294493.1128907993
2025-10-10,997823.2695645462,1134482.2571834233,1203292.8704695425,1243770.5664643059,1311618.9931526883
2025-10-13,992853.5439069559,1131173.4760729219,1197906.4129617384,1238292.2218301874,1303387.2654988018
2025-10-14,985622.1696874388,1129649.318309531,1195798.0156150453,1239287.221786507,1307837.9596226024
2025-10-15,998874.0842835731,1145841.065593089,1209456.4108743048,1250810.6159074039,1322173.5250738524
2025-10-16,983744.908312394,1135453.2691937962,1197637.0114504704,1244500.9650187204,1313784.1105081497
2025-10-17,959174.5459491957,1112257.5365389688,1180017.5266404606,1230358.444104186,1299394.891402186
2025-10-20,971606.7333172252,1127652.3029425757,1192948.4596101635,1244565.9714162648,1310405.6873883228
2025-10-21,989422.1250801537,1149561.5732794763,1209670.2212868994,1262320.1570679226,1327053.3941697043
2025-10-22,985926.9329989529,1150521.9620711098,1213113.2727217388,1264381.3187176788,1328278.9020295658
2025-10-23,984779.4697878995,1155500.8176628626,1220301.6027362826,1271769.0293477396,1338747.5775514725
2025-10-24,980975.6625134273,1148790.6111248294,1214887.9453159883,1266550.757593421,1332735.250903024
