factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate
alpha101__alpha053,0.020126675987668492,0.09910431810461381,0.20308576228154776,0.027446324287990955,0.11469180418305039,0.23930501820501557,0.46005509641873277
alpha101__alpha017,-0.04165290079399386,0.1325914452088964,-0.31414470766473784,-0.033660184704482836,0.15114849173304618,-0.2226961335739454,0.36363636363636365
alpha101__alpha019,-0.09461550622597052,0.15787294995918277,-0.599314234961929,-0.04904526081758897,0.239772634531205,-0.20454903418599263,0.08539944903581267
alpha101__alpha006,-0.04176619661653595,0.10659703259321784,-0.3918138769952335,-0.02668905592034826,0.13078074920434501,-0.20407480521958618,0.325068870523416
alpha101__alpha097,0.029763059038390435,0.1307222552654449,0.2276816520488688,0.02790170072225249,0.1511679348677494,0.18457420051853282,0.5289256198347108
alpha101__alpha030,-0.030587395475617403,0.1314174336420989,-0.23274990713118665,-0.025787984449877684,0.14315703433252933,-0.18013773874343195,0.35537190082644626
alpha101__alpha010,0.0335603377771046,0.1519585882160385,0.2208518660978351,0.02905558592488309,0.1669837365206254,0.17400248988496086,0.5785123966942148
alpha101__alpha008,-0.025226400890562006,0.14725202439077958,-0.17131445896876646,-0.027821009878272497,0.16188029848663932,-0.17186161712302925,0.39944903581267216
alpha101__alpha060,-0.01754408568272753,0.12917034122777937,-0.13582131560518398,-0.02362390450986071,0.14074358315026061,-0.16785066843608326,0.465564738292011
alpha101__alpha047,-0.028035151915569684,0.15008812349710832,-0.18679127476805202,-0.02431978166843865,0.16472551111420106,-0.1476382225433085,0.3691460055096419
alpha101__alpha014,-0.036784204290687184,0.11049981902187311,-0.33288927182229916,-0.01829944404087899,0.12805815961429748,-0.1428994770500816,0.3415977961432507
alpha101__alpha080,-0.015621380352841037,0.12919793802999038,-0.1209104463355668,-0.01978336508859233,0.14194310668815271,-0.13937531416764143,0.4380165289256198
alpha101__alpha034,-0.020378551992899716,0.12728865586112761,-0.16009715755921555,-0.017880290304114276,0.1409100298627043,-0.12689153725633256,0.4380165289256198
alpha101__alpha057,0.023093385000264553,0.13398249280415572,0.1723612131476051,0.01943325970610927,0.15439345769646598,0.12586841434897206,0.5179063360881543
alpha101__alpha100,-0.014109455787025205,0.1315836500230924,-0.10722803163272224,-0.01676479096609158,0.1431191969972623,-0.11713866006677126,0.4297520661157025
alpha101__alpha090,-0.006724951938136164,0.14734732001645334,-0.04564013744793751,-0.01868754346199056,0.16198435170766526,-0.11536635029855324,0.44077134986225897
alpha101__alpha033,-0.02687381601969729,0.17566938981778274,-0.15297950341589275,-0.02265922730205085,0.19853671519792832,-0.11413116853203227,0.4132231404958678
alpha101__alpha052,0.01924973164267617,0.1386576271471258,0.13882923023232474,0.017078566675606945,0.1565101002094754,0.10912117909801823,0.4903581267217631
alpha101__alpha070,0.023426271476992867,0.141253222908903,0.16584592545616417,0.01697399812708757,0.1576873593370431,0.10764336595178259,0.5454545454545454
