generation,factor,expr_key,operation,parents,mutation_op,first_generation,fitness,rank_ic_mean,rank_ic_ir,depth,complexity,survived
2,ga_g002_0042,"covariance[20](zscore_cs(low),low)",random_inject,,,2,0.6291652687703424,0.09173284114377442,0.8838996583086223,3,4,False
2,ga_g002_0014,"zscore_cs(covariance[30](amount,close))",crossover,"zscore_cs(returns)|covariance[30](amount,close)",,1,0.6181152393835614,0.08011062481964144,0.7837273806487021,3,4,False
2,ga_g002_0036,"covariance[60](log_abs(scale(amount)),close)",crossover,"covariance[60](log_abs(scale(amount)),rank(low))|close",,1,0.5648497081287658,0.06350798715509315,0.7461602691960229,4,5,False
2,ga_g002_0046,amount,random_init,,,2,0.5427751064637949,0.0709708021485389,0.643295252632197,1,1,False
2,ga_g002_0033,ts_min[3](returns),mutate,ts_min[3](vwap),ts_min,2,0.4311323720100491,-0.07502142371605705,-0.6547867433883598,2,2,False
2,ga_g002_0031,ts_rank[30](log_abs(rank(amount))),crossover,ts_rank[30](log_abs(low))|rank(amount),,2,0.43082507967566624,0.03786583362958059,0.4055989945408554,4,4,False
2,ga_g002_0021,log_abs(delta[10](low)),random_init,,,2,0.3933362188844674,0.04259314962908957,0.5482741023168749,3,3,False
2,ga_g002_0023,ts_std[5](low),mutate,high,ts_std,2,0.388227819126047,0.03832436475058279,0.4192941636909568,2,2,False
2,ga_g002_0049,ts_std[5](open),random_inject,,,2,0.3810281951037748,0.037155765698881175,0.4026425632395046,2,2,False
2,ga_g002_0017,ts_rank[5](close),crossover,ts_rank[5](volume)|close,,1,0.3320325586616902,0.03058162360239083,0.29627266464380847,2,2,False
2,ga_g002_0035,"abs(zscore_cs(covariance[30](amount,close)))",crossover,"abs(scale(open))|zscore_cs(covariance[30](amount,close))",,2,0.30845633117538995,-0.014954757932207694,-0.3708192589993192,4,5,False
2,ga_g002_0034,"log_abs(zscore_cs(covariance[30](amount,close)))",crossover,"log_abs(delta[10](low))|zscore_cs(covariance[30](amount,close))",,2,0.3039016379859776,-0.015047140580605717,-0.37524158579501615,4,5,False
2,ga_g002_0028,ts_rank[3](low),mutate,ts_min[3](vwap),ts_rank,2,0.28064682841792443,0.020491798197250794,0.21921251198153158,2,2,False
2,ga_g002_0011,zscore_cs(ts_rank[3](log_abs(low))),crossover,zscore_cs(returns)|ts_rank[3](log_abs(low)),,2,0.27664682841792443,0.020491798197250794,0.21921251198153158,4,4,False
2,ga_g002_0020,delay[5](ts_rank[5](close)),crossover,delay[5](delay[3](vwap))|ts_rank[5](close),,2,0.257388784968085,0.02583526125069316,0.2712744209885589,3,3,False
2,ga_g002_0038,ts_std[10](ts_rank[30](log_abs(low))),crossover,ts_std[10](rank(returns))|ts_rank[30](log_abs(low)),,2,0.21614749063044528,-0.023943600512210898,-0.3584356140689993,4,4,False
2,ga_g002_0016,"ts_std[60](correlation[3](demean(open),open))",mutate,"ts_std[20](correlation[3](demean(open),open))",ts_std,2,0.11111313623684502,-0.0017301476575182135,-0.020983377166921377,4,5,False
3,ga_g003_0010,"sub(returns,low)",mutate,"sub(returns,open)",sub,3,1.1451222694082142,0.12255795839228117,1.8955744149627283,2,3,False
3,ga_g003_0000,ts_std[20](returns),crossover,"ts_std[20](correlation[3](demean(open),open))|returns",,2,1.1305412556877403,0.21079385132562964,1.6466751140639904,2,2,False
3,ga_g003_0001,"sub(zscore_cs(covariance[30](amount,close)),open)",crossover,"sub(returns,open)|zscore_cs(covariance[30](amount,close))",,2,1.1221057016638825,0.1489775080290814,1.9645264749665217,4,6,False
3,ga_g003_0002,"sub(returns,open)",random_inject,,,1,1.080958628407504,0.12034824216791487,1.8688295370238537,2,3,False
3,ga_g003_0025,"sub(returns,vwap)",crossover,"sub(returns,open)|vwap",,3,1.0621079109948912,0.11871163394356882,1.8295568182240702,2,3,False
3,ga_g003_0003,ts_min[20](open),random_init,,,3,1.0504940178219229,-0.13916267742658353,-2.2315796269448636,2,2,False
3,ga_g003_0004,volume,random_init,,,3,1.0398683904536319,0.15111908586663125,1.5141118841736263,1,1,False
3,ga_g003_0011,delay[5](delay[3](vwap)),crossover+mutate,ts_std[10](rank(returns))|ts_rank[3](log_abs(low)),delay,1,1.0354106161077183,-0.12611791351457824,-2.104897472490801,3,3,False
3,ga_g003_0039,ts_max[10](volume),random_inject,,,3,1.0176542911849413,0.1478297046773943,1.507928052765446,2,2,False
