factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate,abs_rank_ic_mean,abs_rank_ic_ir,selected,drop_reason
ga_final_0023,-0.13769446047920253,0.043243838361361024,-3.1841405780998957,-0.17048970250908208,0.07116204780603799,-2.395795339866769,0.0,0.17048970250908208,2.395795339866769,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0022,-0.13769446047920253,0.043243838361361024,-3.1841405780998957,-0.17048970250908208,0.07116204780603799,-2.395795339866769,0.0,0.17048970250908208,2.395795339866769,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0034,-0.1333745543590902,0.04126801289727484,-3.2319112308869538,-0.16349772753671815,0.06972696630387785,-2.344827779028517,0.0,0.16349772753671815,2.344827779028517,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0035,-0.12409318268292316,0.040588262625883706,-3.057366210195634,-0.15262997286272728,0.06539155577578318,-2.334093004088635,0.0,0.15262997286272728,2.334093004088635,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0008,0.11424012987187163,0.045045603738506065,2.536099427927445,0.14146863230324477,0.061402522832930274,2.303954720039205,0.8108108108108109,0.14146863230324477,2.303954720039205,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0040,-0.10997406796840976,0.04090314804871029,-2.6886455741119253,-0.1374790840495817,0.05977336467601902,-2.300005776732493,0.0045045045045045045,0.1374790840495817,2.300005776732493,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0038,-0.11969524000734982,0.04281146630708552,-2.7958687317266597,-0.151744099392976,0.06623776413686261,-2.290900083514858,0.0,0.151744099392976,2.290900083514858,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0037,-0.1337244166416732,0.04246040723033688,-3.1493908175739422,-0.16365943537606917,0.07161293587805438,-2.2853334159453476,0.0,0.16365943537606917,2.2853334159453476,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0039,-0.11382836876287561,0.041878123001292025,-2.7180866907373993,-0.14324018279982795,0.06277078311907987,-2.281956280967419,0.0,0.14324018279982795,2.281956280967419,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0042,-0.11721275035538656,0.04277830511881881,-2.7400045427190833,-0.14729757604792695,0.06462779357427742,-2.2791676444691906,0.0,0.14729757604792695,2.2791676444691906,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0041,-0.11799250193822312,0.042904715971901736,-2.750105653082433,-0.14908156193883254,0.06569420948430092,-2.2693257611153514,0.0,0.14908156193883254,2.2693257611153514,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0020,-0.14524540009956777,0.04541493951668365,-3.1981854791683775,-0.1760903602125722,0.07794489701171756,-2.2591647043436383,0.0,0.1760903602125722,2.2591647043436383,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0046,-0.1206272003840029,0.044165176924884086,-2.731274021366767,-0.13919710418000944,0.06234650385571553,-2.232636885335933,0.0045045045045045045,0.13919710418000944,2.232636885335933,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0045,-0.10914813734825048,0.041122117558104535,-2.6542440863855528,-0.13916267742658353,0.062360614761976345,-2.2315796269448636,0.0,0.13916267742658353,2.2315796269448636,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0009,0.10527260635869876,0.04289995812286123,2.4539093035291186,0.13156331969086857,0.05937093021587701,2.215955168842644,0.8648648648648649,0.13156331969086857,2.215955168842644,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0007,0.09590682239626308,0.04051224871719383,2.3673537123492037,0.12612651892587531,0.05956445819450875,2.1174794961452856,0.954954954954955,0.12612651892587531,2.1174794961452856,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0048,-0.09576954945443578,0.04067998698407456,-2.354217799822004,-0.12611791351457824,0.0599164164349242,-2.104897472490801,0.0045045045045045045,0.12611791351457824,2.104897472490801,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0032,0.11740440451701681,0.04901134934001789,2.3954534224822046,0.1489775080290814,0.0758338001179751,1.9645264749665217,0.8693693693693694,0.1489775080290814,1.9645264749665217,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0019,0.0897566023388759,0.043227177060930544,2.07639287229791,0.12255795839228117,0.06465478612966559,1.8955744149627283,0.990990990990991,0.12255795839228117,1.8955744149627283,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0026,0.08739414369423795,0.04292674426181134,2.0358903335696454,0.11996101831546196,0.06387394060240036,1.8780901441824287,0.9774774774774775,0.11996101831546196,1.8780901441824287,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0036,0.0877266960949905,0.043190369274767944,2.031163372021478,0.12034824216791487,0.06439765627825624,1.8688295370238537,0.9819819819819819,0.12034824216791487,1.8688295370238537,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0043,0.08614322167327551,0.043023205938015216,2.0022501762742775,0.11877056354498515,0.0639118995935708,1.8583481996353124,0.972972972972973,0.11877056354498515,1.8583481996353124,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0044,0.08575427039822428,0.04335425187905225,1.9779898552385982,0.11871163394356882,0.06488545901449556,1.8295568182240702,0.9774774774774775,0.11871163394356882,1.8295568182240702,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0027,0.17011654315694122,0.08096101446882202,2.1012155575502685,0.19643481861087364,0.11728469002652775,1.6748547365086057,0.9234234234234234,0.19643481861087364,1.6748547365086057,True,
ga_final_0031,0.19178443825226374,0.09130513057510047,2.10047822115009,0.21079802911551188,0.1280102018013012,1.64672835562524,0.8738738738738738,0.21079802911551188,1.64672835562524,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0024,0.19054511356285989,0.090207338089446,2.1123016996014554,0.21079385132562964,0.12801180361886377,1.6466751140639904,0.8828828828828829,0.21079385132562964,1.6466751140639904,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0028,0.19054511356285989,0.090207338089446,2.1123016996014554,0.21079385132562964,0.12801180361886377,1.6466751140639904,0.8828828828828829,0.21079385132562964,1.6466751140639904,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0047,0.14805559767205762,0.07316174506995408,2.023675043979518,0.15111908586663125,0.09980707994317685,1.5141118841736263,0.990990990990991,0.15111908586663125,1.5141118841736263,True,
ga_final_0049,0.17095849196586685,0.09405928380967486,1.8175610640603475,0.19890793240683474,0.1343753836219175,1.4802408524948878,0.8333333333333334,0.19890793240683474,1.4802408524948878,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
